movie_uri,movie,releaseDate,runtime,language,budget,boxOffice,plot,franchise,actors,genres,directors,producers,distributors,filmingLocations,awards
http://dbpedia.org/resource/Captain_Craddock,Captain Craddock,1931-12-04,5220.0,http://dbpedia.org/resource/French_language,,,"Captain Craddock (French: Le capitaine Craddock) is a 1931 German French-language musical comedy film directed by Max de Vaucorbeil and Hanns Schwarz and starring Jean Murat, Käthe von Nagy and Charles Redgie. It is a French-language version of the 1931 German film Bombs on Monte Carlo. It was shot at the Babelsberg Studios of UFA in Berlin. The film's sets were designed by the art director Erich Kettelhut. It is sometimes known as Bombe Sur Monte Carlo.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captain_Demonio,Captain Demonio,1950-02-11,5400.0,http://dbpedia.org/resource/Italian_language,,,"Captain Demonio (Italian: Capitan Demonio) is a 1950 Italian historical adventure film directed by Carlo Borghesio and starring Adriano Rimoldi, María Martín and Luisella Beghi.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captain_Fracasse_(1929_film),Captain Fracasse (1929 film),1929-02-15,5520.0,http://dbpedia.org/resource/French_language,,,"Captain Fracasse (French:Le capitaine Fracasse) is a 1929 French silent adventure film directed by Alberto Cavalcanti and Henry Wulschleger and starring Pierre Blanchar, Lien Deyers and Charles Boyer. It is based on the 1863 novel of the same name by Théophile Gautier. The film's sets were designed by the art director Erik Aaes.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captain_Fracasse_(1929_film),Captain Fracasse (1929 film),1929-02-15,5520.0,http://dbpedia.org/resource/Silent_film,,,"Captain Fracasse (French:Le capitaine Fracasse) is a 1929 French silent adventure film directed by Alberto Cavalcanti and Henry Wulschleger and starring Pierre Blanchar, Lien Deyers and Charles Boyer. It is based on the 1863 novel of the same name by Théophile Gautier. The film's sets were designed by the art director Erik Aaes.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captain_Fracasse_(1940_film),Captain Fracasse (1940 film),1940-11-15,5400.0,http://dbpedia.org/resource/Italian_language,,,"Captain Fracasse (Italian: Capitan Fracassa) is a 1940 Italian historical adventure film directed by Duilio Coletti and starring Elsa De Giorgi, and Osvaldo Valenti. It was made at the Cinecittà studios in Rome. The film is based on the 1863 novel of the same name by Théophile Gautier. Another adaptation Captain Fracasse was made three years later as a co-production between France and Italy.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captain_Fracasse_(1943_film),Captain Fracasse (1943 film),1943-06-19,6000.0,http://dbpedia.org/resource/French_language,,,"Captain Fracasse (French: Le Capitaine Fracasse) is a 1943 French-Italian historical adventure film directed by Abel Gance and starring Fernand Gravey, Assia Noris and Alice Tissot. It is an adaptation of the novel Captain Fracasse by Théophile Gautier. The scenario and dialogue is by Abel Gance and Claude Vermorel and the music composed by Arthur Honegger. Honegger's score for the film (H. 166 in his catalogue of works) consists of around 50 minutes of music for chorus and large orchestra. On the same subject, there were also a 1929 silent version directed by Alberto Cavalcanti, and a 1961 colour version directed by Pierre Gaspard-Huit both with the same title.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captive_Soul,Captive Soul,1952-01-11,5760.0,http://dbpedia.org/resource/German_language,,,"Captive Soul (German: Gefangene Seele) is a 1952 West German drama film directed by Hans Wolff and starring Attila Hörbiger, Anne-Marie Blanc and Adrian Hoven. After being badly injured, a female dancer eventually recovers after falling in love. It was shot at the Bavaria Studios and on location in Munich and Bayreuth. The film's sets were designed by the art director Max Mellin.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Cardinal_Messias,Cardinal Messias,1939-08-31,5760.0,http://dbpedia.org/resource/Italian_language,,,"Cardinal Messias (Italian: Abuna Messias) is a 1939 Italian historical drama film directed by Goffredo Alessandrini and starring Camillo Pilotto, Enrico Glori and Mario Ferrari. The film was awarded the Mussolini Cup at the 1939 Venice film festival. It portrays the life of Guglielmo Massaia, a nineteenth-century Italian known for his missionary work in the Ethiopian Empire.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carmen_(1926_film),Carmen (1926 film),1926-11-05,9900.0,http://dbpedia.org/resource/Silent_film,,,"Carmen is a 1926 French silent drama film directed by Jacques Feyder and starring Raquel Meller, Fred Louis Lerch and Gaston Modot. It is based on Prosper Mérimée's 1845 Seville-set novel Carmen. The film's art direction was by Lazare Meerson.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carmen_(1926_film),Carmen (1926 film),1926-11-05,9900.0,http://dbpedia.org/resource/Intertitles,,,"Carmen is a 1926 French silent drama film directed by Jacques Feyder and starring Raquel Meller, Fred Louis Lerch and Gaston Modot. It is based on Prosper Mérimée's 1845 Seville-set novel Carmen. The film's art direction was by Lazare Meerson.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
