movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice_x,basedOn,basedOn_uri,IMDbID,RottenTomatoesID,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs,series,series_URIs,dbpedia_uri
http://www.wikidata.org/entity/Q116980365,Immaculate,2024-03-12T00:00:00Z,89.0,89.0,English,9000000.0,,,,tt23137390,m/immaculate_2024,"horror film, psychological horror film","http://www.wikidata.org/entity/Q200092, http://www.wikidata.org/entity/Q109629396","Giorgio Colangeli, lsrar Khan, Simona Tabasco, Sydney Sweeney, Benedetta Porcaroli, Dora Romano","http://www.wikidata.org/entity/Q3765371, http://www.wikidata.org/entity/Q17566714, http://www.wikidata.org/entity/Q18289257, http://www.wikidata.org/entity/Q49561909, http://www.wikidata.org/entity/Q59732871, http://www.wikidata.org/entity/Q118869664",Michael Mohan,http://www.wikidata.org/entity/Q61920480,"Fórum Hungary, Neon","http://www.wikidata.org/entity/Q1005887, http://www.wikidata.org/entity/Q30603559","Teddy Schwarzman, Sydney Sweeney","http://www.wikidata.org/entity/Q19309867, http://www.wikidata.org/entity/Q49561909",Will Bates,http://www.wikidata.org/entity/Q65481960,Elisha Christian,http://www.wikidata.org/entity/Q124481816,Rome,http://www.wikidata.org/entity/Q220,Black Bear Pictures,http://www.wikidata.org/entity/Q54953618,,,,,http://dbpedia.org/resource/Immaculate
http://www.wikidata.org/entity/Q112811482,Damsel,2024-03-08T00:00:00Z,110.0,110.0,English,,,,,tt13452446,m/damsel_2023,"fantasy film, adventure film, dark fantasy","http://www.wikidata.org/entity/Q157394, http://www.wikidata.org/entity/Q319221, http://www.wikidata.org/entity/Q794912","Angela Bassett, Robin Wright, Shohreh Aghdashloo, Ray Winstone, Nick Robinson, Millie Bobby Brown, Mens-Sana Tamakloe","http://www.wikidata.org/entity/Q232120, http://www.wikidata.org/entity/Q272972, http://www.wikidata.org/entity/Q229766, http://www.wikidata.org/entity/Q310932, http://www.wikidata.org/entity/Q2985242, http://www.wikidata.org/entity/Q25936414, http://www.wikidata.org/entity/Q72049754",Juan Carlos Fresnadillo,http://www.wikidata.org/entity/Q461315,Netflix,http://www.wikidata.org/entity/Q907311,"Joe Roth, Jeff Kirschenbaum","http://www.wikidata.org/entity/Q919992, http://www.wikidata.org/entity/Q61774149",David Fleming,http://www.wikidata.org/entity/Q116169963,Larry Fong,http://www.wikidata.org/entity/Q3132448,"London, Tomar, Serra da Estrela, Batalha, Sortelha","http://www.wikidata.org/entity/Q84, http://www.wikidata.org/entity/Q622817, http://www.wikidata.org/entity/Q738004, http://www.wikidata.org/entity/Q810715, http://www.wikidata.org/entity/Q2120360",Roth/Kirschenbaum Films,http://www.wikidata.org/entity/Q96031382,,,,,http://dbpedia.org/resource/Damsel_(upcoming_film)
http://www.wikidata.org/entity/Q115805331,Timestalker,2024-03-08T00:00:00Z,,,English,,,,,tt7340766,,,,"Aneurin Barnard, Kate Dickie, Jacob Anderson, Nick Frost, Mike Wozniak, Daniel Renton Skinner, Tanya Reynolds","http://www.wikidata.org/entity/Q245880, http://www.wikidata.org/entity/Q212351, http://www.wikidata.org/entity/Q1677416, http://www.wikidata.org/entity/Q363400, http://www.wikidata.org/entity/Q6849337, http://www.wikidata.org/entity/Q7313557, http://www.wikidata.org/entity/Q27864271",Alice Lowe,http://www.wikidata.org/entity/Q4725976,HanWay Films,http://www.wikidata.org/entity/Q5646566,,,TOYDRUM,http://www.wikidata.org/entity/Q22909459,,,,,,,,,,,http://dbpedia.org/resource/Timestalker
http://www.wikidata.org/entity/Q115010349,The Idea of You,2024-03-16T00:00:00Z,115.0,115.0,English,,,The Idea of You,http://www.wikidata.org/entity/Q115010501,tt9466114,m/the_idea_of_you,romantic comedy,http://www.wikidata.org/entity/Q860626,"Anne Hathaway, Reid Scott, Annie Mumolo, Nicholas Galitzine, Perry Mattfeld, Ella Rubin, Jordan Aaron Hall, Jaiden Anthony, Raymond Cham Jr., Viktor White","http://www.wikidata.org/entity/Q36301, http://www.wikidata.org/entity/Q2139900, http://www.wikidata.org/entity/Q2754439, http://www.wikidata.org/entity/Q90902600, http://www.wikidata.org/entity/Q94698650, http://www.wikidata.org/entity/Q111536404, http://www.wikidata.org/entity/Q124693467, http://www.wikidata.org/entity/Q124693474, http://www.wikidata.org/entity/Q124693480, http://www.wikidata.org/entity/Q124693487",Michael Showalter,http://www.wikidata.org/entity/Q2092899,Amazon Prime Video,http://www.wikidata.org/entity/Q4740856,Gabrielle Union,http://www.wikidata.org/entity/Q231648,Goldspot,http://www.wikidata.org/entity/Q5580330,Jim Frohna,http://www.wikidata.org/entity/Q48115351,,,,,,,,,http://dbpedia.org/resource/The_Idea_of_You
http://www.wikidata.org/entity/Q125852984,A Mistake,2024-01-01T00:00:00Z,101.0,101.0,English,,,,,tt13605284,m/a_mistake,,,"Elizabeth Banks, Rena Owen, Simon McBurney, Matthew Sunderland, Mickey Sumner","http://www.wikidata.org/entity/Q219373, http://www.wikidata.org/entity/Q434301, http://www.wikidata.org/entity/Q705602, http://www.wikidata.org/entity/Q6791284, http://www.wikidata.org/entity/Q15069945",Christine Jeffs,http://www.wikidata.org/entity/Q520038,,,Matthew Metcalfe,http://www.wikidata.org/entity/Q75473319,Frank Ilfman,http://www.wikidata.org/entity/Q17198144,,,,,,,,,,,http://dbpedia.org/resource/A_Mistake
http://www.wikidata.org/entity/Q119053379,The Return,2024-01-01T00:00:00Z,,,English,,,Odyssey,http://www.wikidata.org/entity/Q35160,tt19861162,m/the_return_2024,"drama film, historical film, film based on book","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q17013749, http://www.wikidata.org/entity/Q52207310","Ralph Fiennes, Juliette Binoche, Claudio Santamaria, Marwan Kenzari, Charlie Plummer, Amir Wilson","http://www.wikidata.org/entity/Q28493, http://www.wikidata.org/entity/Q106275, http://www.wikidata.org/entity/Q959138, http://www.wikidata.org/entity/Q13817318, http://www.wikidata.org/entity/Q20857862, http://www.wikidata.org/entity/Q86460119",Uberto Pasolini,http://www.wikidata.org/entity/Q3547630,,,Uberto Pasolini,http://www.wikidata.org/entity/Q3547630,,,Marius Panduru,http://www.wikidata.org/entity/Q28950290,,,"Rai Cinema, HanWay Films","http://www.wikidata.org/entity/Q3929491, http://www.wikidata.org/entity/Q5646566",Trojan War,http://www.wikidata.org/entity/Q42937,,,http://dbpedia.org/resource/The_Return
http://www.wikidata.org/entity/Q117742969,Relay,2024-01-01T00:00:00Z,112.0,112.0,English,,,,,tt11539996,m/relay,,,"Sam Worthington, Riz Ahmed, Lily James","http://www.wikidata.org/entity/Q82085, http://www.wikidata.org/entity/Q1861917, http://www.wikidata.org/entity/Q13217306",David Mackenzie,http://www.wikidata.org/entity/Q960885,,,"David Mackenzie, Teddy Schwarzman, Basil Iwanyk","http://www.wikidata.org/entity/Q960885, http://www.wikidata.org/entity/Q19309867, http://www.wikidata.org/entity/Q52714247",,,,,,,,,,,,,http://dbpedia.org/resource/Relay
http://www.wikidata.org/entity/Q112190851,Reunion,2024-01-01T00:00:00Z,90.0,90.0,English,,,,,tt15338966,m/reunion_2024,"comedy film, mystery film","http://www.wikidata.org/entity/Q157443, http://www.wikidata.org/entity/Q1200678","Nina Dobrev, Jamie Chung, Chace Crawford, Billy Magnussen, Michael Hitchcock, Lil Rel Howery, Jillian Bell","http://www.wikidata.org/entity/Q183439, http://www.wikidata.org/entity/Q232642, http://www.wikidata.org/entity/Q297064, http://www.wikidata.org/entity/Q794599, http://www.wikidata.org/entity/Q919870, http://www.wikidata.org/entity/Q21067271, http://www.wikidata.org/entity/Q16198576",Chris Nelson,http://www.wikidata.org/entity/Q18347485,,,"Ben Silverman, Todd Garner, Lil Rel Howery","http://www.wikidata.org/entity/Q4886463, http://www.wikidata.org/entity/Q19878370, http://www.wikidata.org/entity/Q21067271",Fil Eisler,http://www.wikidata.org/entity/Q107618713,,,,,,,,,,,http://dbpedia.org/resource/Reunion_(upcoming_film)
http://www.wikidata.org/entity/Q113319986,Shirley,2024-03-22T00:00:00Z,,,English,,,,,tt14077516,m/shirley,"drama film, biographical film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q645928","Regina King, Lance Reddick, Valerie Principal, Terrence Howard, W. Earl Brown, Brian Stokes Mitchell, André Holland, Reina King, Brad James, Michael Cherrie, Lucas Hedges, Christina Jackson, Amirah Vann","http://www.wikidata.org/entity/Q234544, http://www.wikidata.org/entity/Q322056, http://www.wikidata.org/entity/Q476760, http://www.wikidata.org/entity/Q296500, http://www.wikidata.org/entity/Q2572165, http://www.wikidata.org/entity/Q3644511, http://www.wikidata.org/entity/Q4754805, http://www.wikidata.org/entity/Q2140264, http://www.wikidata.org/entity/Q16201714, http://www.wikidata.org/entity/Q22348229, http://www.wikidata.org/entity/Q17488953, http://www.wikidata.org/entity/Q124171808, http://www.wikidata.org/entity/Q33084199",John Ridley,http://www.wikidata.org/entity/Q362930,Netflix,http://www.wikidata.org/entity/Q907311,,,,,,,Cincinnati,http://www.wikidata.org/entity/Q43196,,,Shirley Chisholm,http://www.wikidata.org/entity/Q239657,,,http://dbpedia.org/resource/Shirley
http://www.wikidata.org/entity/Q124605017,Omni Loop,2024-03-13T00:00:00Z,107.0,107.0,English,,,,,tt28150132,m/omni_loop,"science fiction film, comedy drama","http://www.wikidata.org/entity/Q471839, http://www.wikidata.org/entity/Q859369","Mary-Louise Parker, Eddie Cahill, Harris Yulin, Carlos Jacott, Chris Witaske, Ayo Edebiri","http://www.wikidata.org/entity/Q229957, http://www.wikidata.org/entity/Q350506, http://www.wikidata.org/entity/Q1346123, http://www.wikidata.org/entity/Q15491087, http://www.wikidata.org/entity/Q51844995, http://www.wikidata.org/entity/Q99365507",Bernardo Britto,http://www.wikidata.org/entity/Q90691616,,,David Hinojosa,http://www.wikidata.org/entity/Q119144451,Kaitlyn Aurelia Smith,http://www.wikidata.org/entity/Q26357065,,,,,,,,,,,http://dbpedia.org/resource/Omni_Loop
