attribute,status,count
country,some,1886
language,some,2606
runtime,some,6338
budget,some,840
boxOffice,some,1014
basedOn,none,0
IMDbID,some,1741
plot,all,7794
franchise,none,0
depiction,none,0
wikiPageWikiLink,all,7900
primaryTopic,none,0
wasDerivedFrom,all,7900
RottenTomatoesID,some,90
genres,some,808
actors,all,6108
directors,all,4652
distributors,all,2751
writer,all,3155
producers,all,2701
composers,all,2923
cinematographers,all,1336
filmingLocations,none,0
productionCompanies,all,1207
mainSubjects,all,7892
series,some,21
